branch,file,function_addr,caller_addr,callee_addr,call_context,pre_call_setup,post_call_behavior,confidence,evidence_level,notes
RTOS_service,ppkp2001 90cye01.PZU,0x9255,0x9255,0x8F8C,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x9279
RTOS_service,ppkp2001 90cye01.PZU,0x9255,0x9255,0x90D1,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x9285
RTOS_service,ppkp2001 90cye01.PZU,0x9255,0x9255,0x8F8C,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x92A0
RTOS_service,ppkp2001 90cye01.PZU,0x9255,0x9255,0x8F8C,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x92AA
RTOS_service,ppkp2001 90cye01.PZU,0x9255,0x9255,0x93BC,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x92B3
RTOS_service,ppkp2001 90cye01.PZU,0x9255,0x9255,0x92C5,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x92B7
RTOS_service,ppkp2001 90cye01.PZU,0x9255,0x9255,0x8F8C,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x92BF
RTOS_service,ppkp2001 90cye01.PZU,0x9255,0x9255,0x90D1,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x92C9
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0xABF5,0x758B,direct_call_xref,context-dependent,returns_to_caller,high,static_code,from call_xref.csv
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x75B6,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x75A0
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x75EA,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x75DF
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x8F8C,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7620
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x762C,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7625
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x763E,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7633
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x764C,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7647
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x7659,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7654
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x766A,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7665
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x7677,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7672
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x7690,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7689
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x769E,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x7697
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x76AC,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x76A5
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x76BA,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x76B3
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x76D9,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x76CC
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x76D9,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x76D4
RTOS_service,ppkp2001 90cye01.PZU,0x758B,0x758B,0x76EF,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x76E9
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x613C,0x613C,0x61F6,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x61EC
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x613C,0x613C,0x791E,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x615A
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x613C,0x613C,0x61D0,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x61FA
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x613C,0x613C,0x6215,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x622B
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x613C,0x613C,0x61F6,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x61F1
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x613C,0x613C,0x61CC,callee_within_function_window,local-register/xdata context,continues_local_flow,high,static_code,code_addr=0x61E7
