reference_branch,reference_file,reference_function,reference_role,target_branch,target_file,candidate_function,match_type,match_score,confidence,evidence_summary,xdata_overlap,callgraph_overlap,string_or_table_overlap,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition-check helper,RTOS_service,ppkp2012 a01.PZU,0x4A72,hypothesis,0.483,unknown,"shift=3853, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition-check helper,RTOS_service,ppkp2019 a02.PZU,0x4C89,hypothesis,0.483,unknown,"shift=3318, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet/export bridge,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x8405,hypothesis,0.467,unknown,"shift=10630, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet/export bridge,90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0xA496,hypothesis,0.467,unknown,"shift=18967, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet/export bridge,90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0xA496,hypothesis,0.467,unknown,"shift=18967, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet/export bridge,A03_A04,A03_26.PZU,0x6D38,hypothesis,0.468,unknown,"shift=4793, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet/export bridge,A03_A04,A04_28.PZU,0x6C11,hypothesis,0.468,unknown,"shift=4498, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet/export bridge,RTOS_service,ppkp2001 90cye01.PZU,0x4A0F,hypothesis,0.475,unknown,"shift=4208, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet/export bridge,RTOS_service,ppkp2012 a01.PZU,0x4A72,hypothesis,0.475,unknown,"shift=4109, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet/export bridge,RTOS_service,ppkp2019 a02.PZU,0x4C89,hypothesis,0.478,unknown,"shift=3574, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output-start entry,RTOS_service,ppkp2012 a01.PZU,0x8216,hypothesis,0.476,unknown,"shift=6627, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,mode gate,90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0xA5A9,hypothesis,0.481,unknown,"shift=13087, size/calls/xdata profile + callgraph/xdata overlap",0x3013,0x7316,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,mode gate,90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0xA5A9,hypothesis,0.481,unknown,"shift=13087, size/calls/xdata profile + callgraph/xdata overlap",0x3013,0x7316,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,mode gate,RTOS_service,ppkp2001 90cye01.PZU,0x9A24,hypothesis,0.467,unknown,"shift=10138, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,mode gate,RTOS_service,ppkp2012 a01.PZU,0xA0EF,hypothesis,0.467,unknown,"shift=11877, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,mode gate,RTOS_service,ppkp2019 a02.PZU,0x9F7F,hypothesis,0.467,unknown,"shift=11509, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone/object logic,RTOS_service,ppkp2019 a02.PZU,0x439D,hypothesis,0.481,unknown,"shift=12255, size/calls/xdata profile + callgraph/xdata overlap",0x0001,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,table/state reader helper,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x605A,hypothesis,0.482,unknown,"shift=6344, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,table/state reader helper,90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x72BB,hypothesis,0.487,unknown,"shift=1639, size/calls/xdata profile + callgraph/xdata overlap",0x315B,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,table/state reader helper,90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x72BB,hypothesis,0.487,unknown,"shift=1639, size/calls/xdata profile + callgraph/xdata overlap",0x315B,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,table/state reader helper,A03_A04,A03_26.PZU,0x9424,hypothesis,0.477,unknown,"shift=6914, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,table/state reader helper,A03_A04,A04_28.PZU,0x67EB,hypothesis,0.465,unknown,"shift=4407, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
