branch,file,function_addr,code_addr,action_candidate,trigger_source,xdata_addr,write_value_or_bit,call_target,next_function,packet_export_seen,feedback_seen,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x588B,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58E4,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x738A,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73CB,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73DE,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73ED,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7405,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7430,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7459,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7477,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x748D,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x749A,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x613C,packet_export_or_feedback,xdata_read,0x315D,-,-,-,no,yes,hypothesis,xdata=0x315D
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x613F,packet_export_or_feedback,instruction,-,-,-,-,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6140,packet_export_or_feedback,conditional_branch,-,-,-,0x6149,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6142,packet_export_or_feedback,xdata_read,0x3125,-,-,-,no,yes,hypothesis,xdata=0x3125
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6145,packet_export_or_feedback,instruction,-,-,-,-,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6146,packet_export_or_feedback,bit_operation,-,-,-,-,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6148,packet_export_or_feedback,instruction,-,-,-,-,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6149,packet_export_or_feedback,instruction,-,-,-,-,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x614A,packet_export_or_feedback,instruction,-,-,-,-,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x614B,packet_export_or_feedback,xdata_write,0x30E4,-,-,-,no,yes,hypothesis,xdata=0x30E4
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x614E,packet_export_or_feedback,instruction,-,-,-,-,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x614F,packet_export_or_feedback,instruction,-,-,-,-,no,yes,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6833,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6836,output_start,call,-,-,0x7922,0x7922,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6839,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x683A,output_start,call,-,-,0x597F,0x597F,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x683D,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x683E,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6840,output_start,arithmetic,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6842,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6844,output_start,conditional_branch,-,-,-,0x67D7,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6847,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6849,output_start,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x684C,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x684E,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x684F,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6850,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6853,output_start,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6856,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6857,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6859,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x685A,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x685B,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x685C,output_start,instruction,-,-,-,-,no,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x685F,output_start,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6862,output_start,jump,-,-,-,0x7DC2,no,no,hypothesis,static_trace
