branch,file,function_addr,output_semantic,score,confidence,xdata_refs,call_targets,constants,downstream_packet_export,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,0x315D,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,0x3125,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,0x30E4,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback_check,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,0x7922,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,0x597F,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_generic,0.500,hypothesis,-,-,-,no,output semantic inferred from action/role keywords only
